STUDENTS,GPA,GPA_PROB,CLASS,GRADE,SEMESTER
Student_1,3.74,0.0011477920348143117,,70.0,
Student_2,3.14,0.0009636542752184329,,70.0,
Student_3,3.31,0.0010158266404372651,,70.0,
Student_4,3.52,0.0010802748562958227,,70.0,
Student_5,3.51,0.0010772058936358913,,70.0,
Student_6,3.81,0.001169274773433831,,70.0,
Student_7,3.34,0.001025033528417059,,70.0,
Student_8,2.95,0.0009053439846797379,,70.0,
Student_9,3.54,0.0010864127816156853,,70.0,
Student_10,2.88,0.0008838612460602185,,70.0,
Student_11,3.47,0.0010649300429961663,,70.0,
Student_12,3.11,0.0009544473872386388,,70.0,
Student_13,3.55,0.0010894817442756166,,70.0,
Student_14,3.02,0.000926826723299257,,70.0,
Student_15,3.54,0.0010864127816156853,,70.0,
Student_16,3.45,0.0010587921176763036,,70.0,
Student_17,3.4,0.001043447304376647,,70.0,
Student_18,3.68,0.0011293782588547238,,70.0,
Student_19,2.97,0.0009114819099996005,,70.0,
Student_20,2.86,0.000877723320740356,,70.0,
Student_21,2.62,0.0008040682169020045,,70.0,
Student_22,2.56,0.0007856544409424166,,70.0,
Student_23,3.69,0.0011324472215146551,,70.0,
Student_24,3.46,0.001061861080336235,,70.0,
Student_25,2.94,0.0009022750220198065,,70.0,
Student_26,3.43,0.001052654192356441,,70.0,
Student_27,3.0,0.0009206887979793944,,70.0,
Student_28,3.21,0.000985137013837952,,70.0,
Student_29,2.95,0.0009053439846797379,,70.0,
Student_30,3.35,0.0010281024910769904,,70.0,
Student_31,3.33,0.0010219645657571278,,70.0,
Student_32,3.62,0.0011109644828951359,,70.0,
Student_33,3.17,0.0009728611631982267,,70.0,
Student_34,3.22,0.0009882059764978835,,70.0,
Student_35,3.64,0.0011171024082149985,,70.0,
Student_36,3.36,0.0010311714537369217,,70.0,
Student_37,3.7,0.0011355161841745864,,70.0,
Student_38,3.55,0.0010894817442756166,,70.0,
Student_39,3.22,0.0009882059764978835,,70.0,
Student_40,3.28,0.0010066197524574712,,70.0,
Student_41,3.13,0.0009605853125585015,,70.0,
Student_42,3.08,0.000945240499258845,,70.0,
Student_43,3.17,0.0009728611631982267,,70.0,
Student_44,3.21,0.000985137013837952,,70.0,
Student_45,3.66,0.0011232403335348611,,70.0,
Student_46,2.74,0.0008408957688211803,,70.0,
Student_47,2.92,0.0008961370966999438,,70.0,
Student_48,3.02,0.000926826723299257,,70.0,
Student_49,3.03,0.0009298956859591882,,70.0,
Student_50,3.26,0.0010004818271376085,,70.0,
Student_51,3.63,0.0011140334455550672,,70.0,
Student_52,2.9,0.0008899991713800812,,70.0,
Student_53,3.18,0.0009759301258581581,,70.0,
Student_54,3.18,0.0009759301258581581,,70.0,
Student_55,3.37,0.001034240416396853,,70.0,
Student_56,2.86,0.000877723320740356,,70.0,
Student_57,3.03,0.0009298956859591882,,70.0,
Student_58,3.02,0.000926826723299257,,70.0,
Student_59,2.91,0.0008930681340400126,,70.0,
Student_60,3.12,0.0009575163498985702,,70.0,
Student_61,3.13,0.0009605853125585015,,70.0,
Student_62,3.86,0.0011846195867334874,,70.0,
Student_63,3.4,0.001043447304376647,,70.0,
Student_64,3.83,0.0011754126987536936,,70.0,
Student_65,3.02,0.000926826723299257,,70.0,
Student_66,2.61,0.0008009992542420731,,70.0,
Student_67,3.49,0.001071067968316029,,70.0,
Student_68,2.87,0.0008807922834002873,,70.0,
Student_69,3.3,0.0010127576777773338,,70.0,
Student_70,3.22,0.0009882059764978835,,70.0,
Student_71,3.5,0.0010741369309759602,,70.0,
Student_72,2.83,0.000868516432760562,,70.0,
Student_73,3.59,0.001101757594915342,,70.0,
Student_74,3.02,0.000926826723299257,,70.0,
Student_75,3.06,0.0009391025739389823,,70.0,
Student_76,3.01,0.0009237577606393256,,70.0,
Student_77,3.02,0.000926826723299257,,70.0,
Student_78,3.63,0.0011140334455550672,,70.0,
Student_79,3.53,0.001083343818955754,,70.0,
Student_80,2.57,0.0007887234036023478,,70.0,
Student_81,2.52,0.0007733785903026913,,70.0,
Student_82,3.28,0.0010066197524574712,,70.0,
Student_83,2.83,0.000868516432760562,,70.0,
Student_84,3.02,0.000926826723299257,,70.0,
Student_85,2.95,0.0009053439846797379,,70.0,
Student_86,3.29,0.0010096887151174025,,70.0,
Student_87,3.78,0.0011600678854540368,,70.0,
Student_88,2.84,0.0008715853954204934,,70.0,
Student_89,3.22,0.0009882059764978835,,70.0,
Student_90,2.81,0.0008623785074406994,,70.0,
Student_91,3.4,0.001043447304376647,,70.0,
Student_92,3.59,0.001101757594915342,,70.0,
Student_93,3.94,0.001209171288012938,,70.0,
Student_94,3.89,0.0011938264747132815,,70.0,
Student_95,3.38,0.0010373093790567844,,70.0,
Student_96,3.11,0.0009544473872386388,,70.0,
Student_97,2.7,0.000828619918181455,,70.0,
Student_98,3.45,0.0010587921176763036,,70.0,
Student_99,3.18,0.0009759301258581581,,70.0,
Student_100,3.17,0.0009728611631982267,,70.0,
Student_101,3.81,0.001169274773433831,,70.0,
Student_102,2.86,0.000877723320740356,,70.0,
Student_103,2.84,0.0008715853954204934,,70.0,
Student_104,2.74,0.0008408957688211803,,70.0,
Student_105,3.18,0.0009759301258581581,,70.0,
Student_106,3.5,0.0010741369309759602,,70.0,
Student_107,3.94,0.001209171288012938,,70.0,
Student_108,3.58,0.0010986886322554106,,70.0,
Student_109,3.41,0.0010465162670365783,,70.0,
Student_110,2.96,0.0009084129473396691,,70.0,
Student_111,3.28,0.0010066197524574712,,70.0,
Student_112,3.66,0.0011232403335348611,,70.0,
Student_113,3.16,0.0009697922005382954,,70.0,
Student_114,2.57,0.0007887234036023478,,70.0,
Student_115,2.93,0.0008992060593598752,,70.0,
Student_116,3.15,0.0009667232378783641,,70.0,
Student_117,2.84,0.0008715853954204934,,70.0,
Student_118,2.68,0.0008224819928615923,,70.0,
Student_119,2.97,0.0009114819099996005,,70.0,
Student_120,2.87,0.0008807922834002873,,70.0,
Student_121,2.88,0.0008838612460602185,,70.0,
Student_122,2.85,0.0008746543580804247,,70.0,
Student_123,3.41,0.0010465162670365783,,70.0,
Student_124,3.04,0.0009329646486191197,,70.0,
Student_125,3.55,0.0010894817442756166,,70.0,
Student_126,3.37,0.001034240416396853,,70.0,
Student_127,2.94,0.0009022750220198065,,70.0,
Student_128,3.67,0.0011263092961947925,,70.0,
Student_129,3.24,0.000994343901817746,,70.0,
Student_130,3.03,0.0009298956859591882,,70.0,
Student_131,3.84,0.0011784816614136247,,70.0,
Student_132,3.18,0.0009759301258581581,,70.0,
Student_133,3.48,0.0010679990056560976,,70.0,
Student_134,3.08,0.000945240499258845,,70.0,
Student_135,3.9,0.0011968954373732126,,70.0,
Student_136,3.55,0.0010894817442756166,,70.0,
Student_137,3.13,0.0009605853125585015,,70.0,
Student_138,2.81,0.0008623785074406994,,70.0,
Student_139,2.5,0.0007672406649828287,,70.0,
Student_140,2.85,0.0008746543580804247,,70.0,
Student_141,3.45,0.0010587921176763036,,70.0,
Student_142,3.13,0.0009605853125585015,,70.0,
Student_143,3.39,0.0010403783417167157,,70.0,
Student_144,3.43,0.001052654192356441,,70.0,
Student_145,3.28,0.0010066197524574712,,70.0,
Student_146,3.13,0.0009605853125585015,,70.0,
Student_147,2.74,0.0008408957688211803,,70.0,
Student_148,3.57,0.0010956196695954793,,70.0,
Student_149,2.7,0.000828619918181455,,70.0,
Student_150,3.1,0.0009513784245787076,,70.0,
Student_151,3.56,0.001092550706935548,,70.0,
Student_152,3.08,0.000945240499258845,,70.0,
Student_153,3.22,0.0009882059764978835,,70.0,
Student_154,3.25,0.0009974128644776772,,70.0,
Student_155,2.63,0.0008071371795619357,,70.0,
