,STUDENTS,GPA,GPA_PROB,CLASS,GRADE,SEMESTER
0,Student_1,2.76,0.0008421797809722289,CS 487,51.14849999999999,Fall 2022
1,Student_2,3.6,0.001098495366485516,CS 487,62.887499999999996,Fall 2022
2,Student_3,3.12,0.0009520293176207805,CS 487,56.1795,Fall 2022
3,Student_4,2.8,0.0008543852850442902,CS 487,51.707499999999996,Fall 2022
4,Student_5,3.59,0.0010954439904675007,CS 487,62.747749999999996,Fall 2022
5,Student_6,3.06,0.0009337210615126886,CS 487,55.341,Fall 2022
6,Student_7,2.76,0.0008421797809722289,CS 487,51.14849999999999,Fall 2022
7,Student_8,3.18,0.0009703375737288725,CS 487,57.018,Fall 2022
8,Student_9,3.24,0.0009886458298369646,CS 487,57.8565,Fall 2022
9,Student_10,2.6,0.0007933577646839838,CS 487,48.9125,Fall 2022
10,Student_11,2.26,0.0006896109800714628,CS 487,44.160999999999994,Fall 2022
11,Student_12,3.53,0.0010771357343594087,CS 487,61.90924999999999,Fall 2022
12,Student_13,3.41,0.001040519222143225,CS 487,60.23225,Fall 2022
13,Student_14,3.42,0.0010435705981612401,CS 487,60.372,Fall 2022
14,Student_15,2.88,0.0008787962931884128,CS 487,52.8255,Fall 2022
15,Student_16,3.52,0.0010740843583413936,CS 487,61.769499999999994,Fall 2022
16,Student_17,3.08,0.0009398238135487193,CS 487,55.6205,Fall 2022
17,Student_18,3.52,0.0010740843583413936,CS 487,61.769499999999994,Fall 2022
18,Student_19,3.21,0.0009794917017829185,CS 487,57.43725,Fall 2022
19,Student_20,2.78,0.0008482825330082595,CS 487,51.428,Fall 2022
20,Student_21,3.13,0.0009550806936387959,CS 487,56.31925,Fall 2022
21,Student_22,3.16,0.0009642348216928419,CS 487,56.7385,Fall 2022
22,Student_23,2.7,0.0008238715248641371,CS 487,50.31,Fall 2022
23,Student_24,2.77,0.0008452311569902443,CS 487,51.28825,Fall 2022
24,Student_25,3.5,0.0010679816063053629,CS 487,61.489999999999995,Fall 2022
25,Student_26,3.23,0.000985594453818949,CS 487,57.71675,Fall 2022
26,Student_27,3.51,0.001071032982323378,CS 487,61.629749999999994,Fall 2022
27,Student_28,3.31,0.0010100054619630718,CS 487,58.83475,Fall 2022
28,Student_29,3.7,0.0011290091266656693,CS 487,64.285,Fall 2022
29,Student_30,3.23,0.000985594453818949,CS 487,57.71675,Fall 2022
30,Student_31,3.48,0.0010618788542693322,CS 487,61.210499999999996,Fall 2022
31,Student_32,2.41,0.0007353816203416927,CS 487,46.25725,Fall 2022
32,Student_33,3.66,0.001116803622593608,CS 487,63.726,Fall 2022
33,Student_34,3.05,0.0009306696854946732,CS 487,55.201249999999995,Fall 2022
34,Student_35,3.37,0.0010283137180711636,CS 487,59.673249999999996,Fall 2022
