,STUDENTS,GPA,GPA_PROB,CLASS,GRADE
0,Student_1,3.35,0.0010252737633974205,,70.0
1,Student_2,3.06,0.0009365187211928678,,70.0
2,Student_3,3.78,0.0011568760673558954,,70.0
3,Student_4,3.14,0.0009610028707665375,,70.0
4,Student_5,3.3,0.001009971169913877,,70.0
5,Student_6,3.33,0.0010191527260040032,,70.0
6,Student_7,2.78,0.0008508241976850235,,70.0
7,Student_8,3.56,0.0010895446560283037,,70.0
8,Student_9,3.01,0.0009212161277093241,,70.0
9,Student_10,2.91,0.000890610940742237,,70.0
10,Student_11,3.2,0.0009793659829467898,,70.0
11,Student_12,3.21,0.0009824265016434984,,70.0
12,Student_13,2.56,0.0007834927863574319,,70.0
13,Student_14,3.94,0.0012058443665032348,,70.0
14,Student_15,3.21,0.0009824265016434984,,70.0
15,Student_16,3.35,0.0010252737633974205,,70.0
16,Student_17,3.26,0.000997729095127042,,70.0
17,Student_18,3.38,0.0010344553194875468,,70.0
18,Student_19,2.83,0.0008661267911685672,,70.0
19,Student_20,3.75,0.0011476945112657694,,70.0
20,Student_21,3.65,0.001117089324298682,,70.0
21,Student_22,2.77,0.000847763678988315,,70.0
22,Student_23,3.6,0.0011017867308151387,,70.0
23,Student_24,3.42,0.0010466973942743817,,70.0
24,Student_25,3.78,0.0011568760673558954,,70.0
25,Student_26,2.99,0.0009150950903159068,,70.0
26,Student_27,3.1,0.0009487607959797026,,70.0
27,Student_28,3.0,0.0009181556090126154,,70.0
28,Student_29,2.81,0.0008600057537751498,,70.0
29,Student_30,3.28,0.0010038501325204596,,70.0
30,Student_31,3.37,0.001031394800790838,,70.0
31,Student_32,2.84,0.0008691873098652759,,70.0
32,Student_33,3.74,0.0011446339925690607,,70.0
33,Student_34,3.68,0.0011262708803888083,,70.0
34,Student_35,2.9,0.0008875504220455283,,70.0
35,Student_36,3.32,0.0010160922073072943,,70.0
36,Student_37,2.34,0.00071616137502984,,70.0
37,Student_38,3.47,0.0010619999877579253,,70.0
38,Student_39,2.86,0.0008753083472586934,,70.0
39,Student_40,3.72,0.0011385129551756432,,70.0
40,Student_41,2.67,0.0008171584920212277,,70.0
41,Student_42,3.32,0.0010160922073072943,,70.0
42,Student_43,2.94,0.0008997924968323631,,70.0
43,Student_44,2.89,0.0008844899033488196,,70.0
44,Student_45,3.78,0.0011568760673558954,,70.0
45,Student_46,3.34,0.0010222132447007118,,70.0
46,Student_47,3.3,0.001009971169913877,,70.0
47,Student_48,2.29,0.0007008587815462965,,70.0
48,Student_49,3.7,0.0011323919177822258,,70.0
49,Student_50,3.51,0.00107424206254476,,70.0
50,Student_51,3.57,0.0010926051747250124,,70.0
51,Student_52,3.12,0.0009548818333731201,,70.0
52,Student_53,3.41,0.001043636875577673,,70.0
53,Student_54,2.78,0.0008508241976850235,,70.0
54,Student_55,3.68,0.0011262708803888083,,70.0
55,Student_56,3.81,0.0011660576234460217,,70.0
56,Student_57,3.34,0.0010222132447007118,,70.0
57,Student_58,3.62,0.001107907768208556,,70.0
58,Student_59,3.25,0.0009946685764303334,,70.0
59,Student_60,3.29,0.0010069106512171683,,70.0
60,Student_61,2.75,0.0008416426415948975,,70.0
61,Student_62,3.21,0.0009824265016434984,,70.0
62,Student_63,3.31,0.0010130316886105856,,70.0
63,Student_64,3.45,0.001055878950364508,,70.0
64,Student_65,3.54,0.0010834236186348862,,70.0
65,Student_66,2.79,0.0008538847163817323,,70.0
66,Student_67,3.16,0.000967123908159955,,70.0
67,Student_68,2.75,0.0008416426415948975,,70.0
68,Student_69,3.3,0.001009971169913877,,70.0
69,Student_70,2.81,0.0008600057537751498,,70.0
70,Student_71,3.41,0.001043636875577673,,70.0
71,Student_72,2.93,0.0008967319781356545,,70.0
72,Student_73,3.09,0.0009457002772829938,,70.0
73,Student_74,3.85,0.0011782996982328566,,70.0
74,Student_75,3.21,0.0009824265016434984,,70.0
75,Student_76,3.4,0.001040576356880964,,70.0
76,Student_77,2.95,0.0009028530155290719,,70.0
77,Student_78,3.19,0.0009763054642500811,,70.0
78,Student_79,2.99,0.0009150950903159068,,70.0
79,Student_80,3.36,0.0010283342820941292,,70.0
80,Student_81,2.94,0.0008997924968323631,,70.0
81,Student_82,2.77,0.000847763678988315,,70.0
82,Student_83,3.01,0.0009212161277093241,,70.0
83,Student_84,3.49,0.0010681210251513426,,70.0
84,Student_85,3.46,0.0010589394690612164,,70.0
85,Student_86,3.45,0.001055878950364508,,70.0
86,Student_87,3.17,0.0009701844268566636,,70.0
87,Student_88,3.56,0.0010895446560283037,,70.0
88,Student_89,3.63,0.0011109682869052647,,70.0
89,Student_90,3.45,0.001055878950364508,,70.0
90,Student_91,3.47,0.0010619999877579253,,70.0
91,Student_92,3.52,0.0010773025812414688,,70.0
92,Student_93,3.22,0.0009854870203402073,,70.0
93,Student_94,2.66,0.000814097973324519,,70.0
94,Student_95,3.08,0.0009426397585862853,,70.0
95,Student_96,2.95,0.0009028530155290719,,70.0
96,Student_97,2.57,0.0007865533050541405,,70.0
97,Student_98,2.81,0.0008600057537751498,,70.0
98,Student_99,3.82,0.0011691181421427303,,70.0
99,Student_100,3.89,0.0011905417730196915,,70.0
100,Student_101,2.42,0.0007406455246035098,,70.0
101,Student_102,3.53,0.0010803630999381775,,70.0
102,Student_103,3.4,0.001040576356880964,,70.0
103,Student_104,3.08,0.0009426397585862853,,70.0
104,Student_105,3.96,0.0012119654038966524,,70.0
105,Student_106,2.98,0.000912034571619198,,70.0
106,Student_107,2.58,0.0007896138237508493,,70.0
107,Student_108,3.82,0.0011691181421427303,,70.0
108,Student_109,3.31,0.0010130316886105856,,70.0
109,Student_110,3.12,0.0009548818333731201,,70.0
110,Student_111,3.36,0.0010283342820941292,,70.0
111,Student_112,2.58,0.0007896138237508493,,70.0
112,Student_113,3.56,0.0010895446560283037,,70.0
113,Student_114,3.19,0.0009763054642500811,,70.0
114,Student_115,3.4,0.001040576356880964,,70.0
115,Student_116,3.08,0.0009426397585862853,,70.0
116,Student_117,3.22,0.0009854870203402073,,70.0
117,Student_118,3.29,0.0010069106512171683,,70.0
118,Student_119,3.32,0.0010160922073072943,,70.0
119,Student_120,2.76,0.0008447031602916061,,70.0
120,Student_121,3.14,0.0009610028707665375,,70.0
121,Student_122,3.36,0.0010283342820941292,,70.0
122,Student_123,2.57,0.0007865533050541405,,70.0
123,Student_124,3.45,0.001055878950364508,,70.0
124,Student_125,3.68,0.0011262708803888083,,70.0
125,Student_126,3.67,0.0011232103616920996,,70.0
126,Student_127,3.6,0.0011017867308151387,,70.0
127,Student_128,3.9,0.0011936022917164,,70.0
128,Student_129,3.04,0.0009303976837994503,,70.0
129,Student_130,3.4,0.001040576356880964,,70.0
130,Student_131,3.77,0.0011538155486591868,,70.0
131,Student_132,3.16,0.000967123908159955,,70.0
132,Student_133,3.58,0.001095665693421721,,70.0
133,Student_134,2.74,0.0008385821228981888,,70.0
134,Student_135,3.17,0.0009701844268566636,,70.0
135,Student_136,3.16,0.000967123908159955,,70.0
136,Student_137,2.94,0.0008997924968323631,,70.0
137,Student_138,3.16,0.000967123908159955,,70.0
138,Student_139,3.08,0.0009426397585862853,,70.0
139,Student_140,2.67,0.0008171584920212277,,70.0
140,Student_141,3.24,0.0009916080577336247,,70.0
141,Student_142,2.87,0.0008783688659554021,,70.0
142,Student_143,3.17,0.0009701844268566636,,70.0
143,Student_144,3.64,0.0011140288056019733,,70.0
144,Student_145,2.6,0.0007957348611442668,,70.0
145,Student_146,3.74,0.0011446339925690607,,70.0
146,Student_147,3.66,0.001120149842995391,,70.0
147,Student_148,3.19,0.0009763054642500811,,70.0
148,Student_149,3.17,0.0009701844268566636,,70.0
149,Student_150,3.66,0.001120149842995391,,70.0
