,STUDENTS,GPA,GPA_PROB,CLASS,GRADE
0,Student_1,3.66,0.0011174105384636518,CS 116,87.0618
1,Student_2,3.63,0.0011082514356893594,CS 116,86.489025
2,Student_3,3.56,0.0010868801958826776,CS 116,85.15255
3,Student_4,2.72,0.0008304253182024953,CS 116,69.11485
4,Student_5,3.29,0.0010044482709140475,CS 116,79.997575
5,Student_6,3.05,0.0009311754487197097,CS 116,75.415375
6,Student_7,2.84,0.0008670617292996641,CS 116,71.40595
7,Student_8,3.26,0.0009952891681397553,CS 116,79.4248
8,Student_9,2.91,0.000888432969106346,CS 116,72.74242500000001
9,Student_10,3.32,0.0010136073736883397,CS 116,80.57035
10,Student_11,3.44,0.0010502437847855087,CS 116,82.86145
11,Student_12,3.72,0.0011357287440122363,CS 116,88.20735
12,Student_13,3.27,0.0009983422023978528,CS 116,79.615725
13,Student_14,3.93,0.0011998424634322817,CS 116,92.21677500000001
14,Student_15,3.41,0.0010410846820112164,CS 116,82.28867500000001
15,Student_16,3.63,0.0011082514356893594,CS 116,86.489025
16,Student_17,3.1,0.0009464406200101968,CS 116,76.37
17,Student_18,3.41,0.0010410846820112164,CS 116,82.28867500000001
18,Student_19,2.78,0.0008487435237510796,CS 116,70.2604
19,Student_20,3.91,0.001193736394916087,CS 116,91.83492500000001
20,Student_21,3.55,0.0010838271616245801,CS 116,84.961625
21,Student_22,3.29,0.0010044482709140475,CS 116,79.997575
22,Student_23,2.9,0.0008853799348482486,CS 116,72.5515
23,Student_24,3.43,0.0010471907505274114,CS 116,82.67052500000001
24,Student_25,3.93,0.0011998424634322817,CS 116,92.21677500000001
25,Student_26,3.45,0.0010532968190436062,CS 116,83.05237500000001
26,Student_27,3.81,0.0011632060523351128,CS 116,89.92567500000001
27,Student_28,2.98,0.0009098042089130279,CS 116,74.0789
28,Student_29,2.63,0.0008029480098796186,CS 116,67.396525
29,Student_30,3.26,0.0009952891681397553,CS 116,79.4248
30,Student_31,3.9,0.0011906833606579895,CS 116,91.644
31,Student_32,3.6,0.0010990923329150673,CS 116,85.91625
32,Student_33,3.57,0.0010899332301407749,CS 116,85.343475
33,Student_34,2.65,0.0008090540783958133,CS 116,67.778375
34,Student_35,3.58,0.0010929862643988724,CS 116,85.5344
35,Student_36,3.4,0.001038031647753119,CS 116,82.09775
36,Student_37,3.46,0.0010563498533017034,CS 116,83.2433
37,Student_38,3.39,0.0010349786134950217,CS 116,81.90682500000001
38,Student_39,3.63,0.0011082514356893594,CS 116,86.489025
39,Student_40,3.96,0.001209001566206574,CS 116,92.78955
40,Student_41,3.17,0.0009678118598168787,CS 116,77.706475
41,Student_42,3.24,0.0009891830996235605,CS 116,79.04295
42,Student_43,3.23,0.000986130065365463,CS 116,78.852025
43,Student_44,3.23,0.000986130065365463,CS 116,78.852025
44,Student_45,2.86,0.000873167797815859,CS 116,71.7878
45,Student_46,3.72,0.0011357287440122363,CS 116,88.20735
46,Student_47,3.42,0.001044137716269314,CS 116,82.4796
47,Student_48,3.08,0.000940334551494002,CS 116,75.98815
48,Student_49,3.17,0.0009678118598168787,CS 116,77.706475
49,Student_50,3.63,0.0011082514356893594,CS 116,86.489025
50,Student_51,3.2,0.000976970962591171,CS 116,78.27925
51,Student_52,3.19,0.0009739179283330734,CS 116,78.088325
52,Student_53,3.47,0.001059402887559801,CS 116,83.43422500000001
53,Student_54,3.03,0.0009250693802035149,CS 116,75.033525
54,Student_55,3.17,0.0009678118598168787,CS 116,77.706475
55,Student_56,3.41,0.0010410846820112164,CS 116,82.28867500000001
56,Student_57,3.14,0.0009586527570425864,CS 116,77.1337
57,Student_58,3.47,0.001059402887559801,CS 116,83.43422500000001
58,Student_59,3.43,0.0010471907505274114,CS 116,82.67052500000001
59,Student_60,2.9,0.0008853799348482486,CS 116,72.5515
60,Student_61,3.39,0.0010349786134950217,CS 116,81.90682500000001
61,Student_62,2.62,0.0007998949756215212,CS 116,67.2056
62,Student_63,3.37,0.001028872544978827,CS 116,81.52497500000001
63,Student_64,3.72,0.0011357287440122363,CS 116,88.20735
64,Student_65,3.87,0.0011815242578836972,CS 116,91.071225
65,Student_66,3.09,0.0009433875857520993,CS 116,76.179075
66,Student_67,3.53,0.0010777210931083854,CS 116,84.579775
67,Student_68,3.66,0.0011174105384636518,CS 116,87.0618
68,Student_69,2.74,0.0008365313867186901,CS 116,69.4967
69,Student_70,3.46,0.0010563498533017034,CS 116,83.2433
70,Student_71,3.31,0.0010105543394302425,CS 116,80.379425
71,Student_72,3.12,0.0009525466885263917,CS 116,76.75185
72,Student_73,3.11,0.0009494936542682942,CS 116,76.560925
73,Student_74,3.0,0.0009159102774292227,CS 116,74.46075
74,Student_75,3.67,0.001120463572721749,CS 116,87.252725
75,Student_76,3.5,0.0010685619903340932,CS 116,84.007
76,Student_77,3.34,0.0010197134422045345,CS 116,80.9522
77,Student_78,3.2,0.000976970962591171,CS 116,78.27925
78,Student_79,3.27,0.0009983422023978528,CS 116,79.615725
79,Student_80,3.57,0.0010899332301407749,CS 116,85.343475
80,Student_81,3.75,0.0011448878467865283,CS 116,88.780125
81,Student_82,3.16,0.0009647588255587813,CS 116,77.51555
82,Student_83,3.63,0.0011082514356893594,CS 116,86.489025
83,Student_84,3.2,0.000976970962591171,CS 116,78.27925
84,Student_85,2.9,0.0008853799348482486,CS 116,72.5515
85,Student_86,3.7,0.0011296226754960413,CS 116,76.37
86,Student_87,3.32,0.0010136073736883397,CS 116,76.37
87,Student_88,3.27,0.0009983422023978528,CS 116,76.37
88,Student_89,3.5,0.0010685619903340932,CS 116,76.37
89,Student_90,2.69,0.000821266215428203,CS 116,76.37
90,Student_91,2.63,0.0008029480098796186,CS 116,64.54605
91,Student_92,3.89,0.0011876303263998922,CS 116,87.58515
92,Student_93,3.49,0.0010655089560759959,CS 116,80.27115
93,Student_94,3.49,0.0010655089560759959,CS 116,80.27115
94,Student_95,3.11,0.0009494936542682942,CS 116,73.32285
95,Student_96,2.65,0.0008090540783958133,CS 116,64.91175
96,Student_97,3.32,0.0010136073736883397,CS 116,77.1627
97,Student_98,2.82,0.0008609556607834693,CS 116,68.02019999999999
98,Student_99,3.64,0.0011113044699474568,CS 116,83.0139
99,Student_100,3.21,0.0009800239968492683,CS 116,75.15135
100,Student_101,3.37,0.001028872544978827,CS 116,78.07695
101,Student_102,3.5,0.0010685619903340932,CS 116,80.454
102,Student_103,2.91,0.000888432969106346,CS 116,69.66585
103,Student_104,3.52,0.001074668058850288,CS 116,80.8197
104,Student_105,3.33,0.0010166604079464372,CS 116,77.34555
105,Student_106,2.69,0.000821266215428203,CS 116,65.64314999999999
106,Student_107,2.98,0.0009098042089130279,CS 116,70.94579999999999
107,Student_108,3.94,0.0012028954976903792,CS 116,88.4994
108,Student_109,3.44,0.0010502437847855087,CS 116,79.3569
109,Student_110,3.23,0.000986130065365463,CS 116,75.51705
110,Student_111,2.87,0.0008762208320739564,CS 116,68.93445
111,Student_112,3.38,0.0010319255792369242,CS 116,78.2598
112,Student_113,2.32,0.0007083039478785988,CS 116,58.8777
113,Student_114,3.44,0.0010502437847855087,CS 116,79.3569
114,Student_115,3.14,0.0009586527570425864,CS 116,73.8714
115,Student_116,3.29,0.0010044482709140475,CS 116,76.61415
116,Student_117,3.69,0.0011265696412379438,CS 116,83.92815
117,Student_118,3.01,0.00091896331168732,CS 116,71.49435
118,Student_119,3.4,0.001038031647753119,CS 116,78.6255
119,Student_120,3.71,0.0011326757097541388,CS 116,84.29384999999999
120,Student_121,3.54,0.0010807741273664829,CS 116,81.1854
121,Student_122,2.76,0.0008426374552348849,CS 116,66.92309999999999
122,Student_123,2.66,0.0008121071126539108,CS 116,65.0946
123,Student_124,2.74,0.0008365313867186901,CS 116,66.5574
124,Student_125,2.47,0.0007540994617500601,CS 116,61.620450000000005
125,Student_126,2.82,0.0008609556607834693,CS 116,68.02019999999999
126,Student_127,2.93,0.0008945390376225409,CS 116,70.03155
127,Student_128,3.16,0.0009647588255587813,CS 116,74.2371
128,Student_129,2.86,0.000873167797815859,CS 116,68.7516
129,Student_130,2.99,0.0009128572431711254,CS 116,71.12865000000001
130,Student_131,3.2,0.000976970962591171,CS 116,76.92625
131,Student_132,2.97,0.0009067511746549305,CS 116,72.610875
132,Student_133,3.04,0.0009281224144616124,CS 116,73.92425
133,Student_134,2.43,0.0007418873247176704,CS 116,62.479124999999996
134,Student_135,3.62,0.001105198401431262,CS 116,84.8065
135,Student_136,3.53,0.0010777210931083854,CS 116,83.117875
136,Student_137,3.91,0.001193736394916087,CS 116,90.247625
137,Student_138,2.8,0.0008548495922672745,CS 116,69.42124999999999
138,Student_139,3.42,0.001044137716269314,CS 116,81.05399999999999
139,Student_140,2.15,0.0006564023654909429,CS 116,57.225624999999994
140,Student_141,3.43,0.0010471907505274114,CS 116,81.241625
141,Student_142,2.93,0.0008945390376225409,CS 116,71.860375
142,Student_143,3.26,0.0009952891681397553,CS 116,78.05199999999999
143,Student_144,3.18,0.0009708648940749762,CS 116,76.551
144,Student_145,3.36,0.0010258195107207295,CS 116,79.92824999999999
145,Student_146,3.27,0.0009983422023978528,CS 116,78.23962499999999
146,Student_147,3.47,0.001059402887559801,CS 116,81.992125
147,Student_148,2.99,0.0009128572431711254,CS 116,72.986125
148,Student_149,3.41,0.0010410846820112164,CS 116,80.866375
149,Student_150,2.93,0.0008945390376225409,CS 116,71.860375
150,Student_151,3.45,0.0010532968190436062,CS 116,81.616875
151,Student_152,3.73,0.0011387817782703335,CS 116,86.870375
152,Student_153,3.36,0.0010258195107207295,CS 116,79.92824999999999
153,Student_154,3.8,0.0011601530180770153,CS 116,88.18374999999999
154,Student_155,3.08,0.000940334551494002,CS 116,74.67475
